MANDT,AGR_NAME,LANGU,PROFILE,PTEXT
001,SAP_BC_STWB_1_ALL,D,T_BE112945,Profil zur Rolle SAP_BC_STWB_1_ALL
001,SAP_BC_STWB_1_DIS,D,T_BE112946,Profil zur Rolle SAP_BC_STWB_1_DIS
001,SAP_BC_STWB_2_ALL,D,T_BE112947,Profil zur Rolle SAP_BC_STWB_2_ALL
001,SAP_BC_STWB_2_DIS,D,T_BE112948,Profil zur Rolle SAP_BC_STWB_2_DIS
001,SAP_BC_STWB_INFO_ALL,D,T_BE112951,Profil zur Rolle SAP_BC_STWB_INFO_ALL
001,SAP_BC_STWB_INFO_DIS,D,T_BE112952,Profil zur Rolle SAP_BC_STWB_INFO_DIS
001,SAP_BC_STWB_SET_ALL,D,T_BE112953,Profil zur Rolle SAP_BC_STWB_SET_ALL
001,SAP_BC_STWB_WORK_ALL,D,T_BE112949,Profil zur Rolle SAP_BC_STWB_WORK_ALL
001,SAP_BC_STWB_WORK_DIS,D,T_BE112950,Profil zur Rolle SAP_BC_STWB_WORK_DIS
001,SAP_BC_S_DBCON_ADMIN,E,T_Y3670211,Profile for role SAP_BC_S_DBCON_ADMIN
001,SAP_BC_S_DBCON_USER,E,T_Y3670210,Profile for role SAP_BC_S_DBCON_USER
001,SAP_BC_TC_DEVELOP_ALL,D,T_BE112943,Profil zur Rolle SAP_BC_TC_DEVELOP_ALL
001,SAP_BC_TC_DEVELOP_DIS,D,T_BE112944,Profil zur Rolle SAP_BC_TC_DEVELOP_DIS
001,SAP_BC_TRANSPORT_ADMINISTRATOR,D,T_BA800078,Profil zur Rolle SAP_BC_TRANSPORT_ADMINISTRATOR
001,SAP_BC_TRANSPORT_ADMINISTRATOR,E,T_BA800078,Profile for Role SAP_BC_TRANSPORT_ADMINISTRATOR
001,SAP_BC_TRANSPORT_OPERATOR,D,T_BA800096,Profil zur Rolle SAP_BC_TRANSPORT_OPERATOR
001,SAP_BC_TRANSPORT_OPERATOR,E,T_BA800096,Profile for Role SAP_BC_TRANSPORT_OPERATOR
001,SAP_BC_TREX_ADMIN,E,T_YA670150,Profile for role SAP_BC_TREX_ADMIN
001,SAP_BC_UI_SFSF_USER,E,T_Y3670471,Profile for role SAP_BC_UI_SFSF_USER
001,SAP_BC_USER_ADMIN,E,T_BA800095,Profile for Role SAP_BC_USER_ADMIN
001,SAP_BC_USR_CUA_CENTRAL,D,T_LA930072,Profil zur Rolle SAP_BC_USR_CUA_CENTRAL
001,SAP_BC_USR_CUA_CENTRAL,E,T_LA930072,Profile for role SAP_BC_USR_CUA_CENTRAL
001,SAP_BC_USR_CUA_CENTRAL_BDIST,E,T_YA670107,Profile for role SAP_BC_USR_CUA_CENTRAL_BDIST
001,SAP_BC_USR_CUA_CLIENT,E,T_Y2190045,Profile for role SAP_BC_USR_CUA_CLIENT
001,SAP_BC_USR_CUA_CLIENT_BATCH,E,T_Y2190046,Profile for role SAP_BC_USR_CUA_CLIENT_BATCH
001,SAP_BC_USR_CUA_CLIENT_PFCG,D,T_YA670533,Profil zur Rolle SAP_BC_USR_CUA_CLIENT_PFCG
001,SAP_BC_USR_CUA_CLIENT_PFCG,E,T_YA670533,Profile for role SAP_BC_USR_CUA_CLIENT_PFCG
001,SAP_BC_USR_CUA_CLIENT_RFC,D,T_Y2190047,Profil zur Rolle SAP_BC_USR_CUA_CLIENT_RFC
001,SAP_BC_USR_CUA_CLIENT_RFC,E,T_YA670428,Profile for role SAP_BC_USR_CUA_CLIENT_RFC
001,SAP_BC_USR_CUA_SETUP_CENTRAL,D,T_Y2190048,Profil zur Rolle SAP_BC_USR_CUA_SETUP_CENTRAL
001,SAP_BC_USR_CUA_SETUP_CENTRAL,E,T_Y2190048,Profile for role SAP_BC_USR_CUA_SETUP_CENTRAL
001,SAP_BC_USR_CUA_SETUP_CLIENT,D,T_YA670210,Profil zur Rolle SAP_BC_USR_CUA_SETUP_CLIENT
001,SAP_BC_USR_CUA_SETUP_CLIENT,E,T_YA670210,Profile for role SAP_BC_USR_CUA_SETUP_CLIENT
001,SAP_BC_UWL_ADMIN_USER,E,T_YA670144,Profile for role SAP_BC_UWL_ADMIN_USER
001,SAP_BC_UWL_END_USER,E,T_YA670145,Profile for role SAP_BC_UWL_END_USER
001,SAP_BC_UWL_SERVICE,D,T_BI660089,Profil zur Rolle SAP_BC_UWL_SERVICE
001,SAP_BC_WDHC_ADMINISTRATOR,D,T_LA930135,Profil zur Rolle SAP_BC_WDHC_ADMINISTRATOR
001,SAP_BC_WDHC_POWERUSER,D,T_LA930134,Profil zur Rolle SAP_BC_WDHC_POWERUSER
001,SAP_BC_WDHC_START,D,T_Y3670529,Profil zur Rolle SAP_BC_WDHC_START
001,SAP_BC_WDHC_TRANSLATOR,D,T_LA930136,Profil zur Rolle SAP_BC_WDHC_TRANSLATOR
001,SAP_BC_WEBSERVICE_ADMIN,D,T_BA760008,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN
001,SAP_BC_WEBSERVICE_ADMIN_BIZ,D,T_EZ980005,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN_BIZ
001,SAP_BC_WEBSERVICE_ADMIN_BIZ,E,T_EZ980005,Profile for role SAP_BC_WEBSERVICE_ADMIN_BIZ
001,SAP_BC_WEBSERVICE_ADMIN_TEC,D,T_EZ980006,Profil zur Rolle SAP_BC_WEBSERVICE_ADMIN_TEC
001,SAP_BC_WEBSERVICE_ADMIN_TEC,E,T_EZ980006,Profile for role SAP_BC_WEBSERVICE_ADMIN_TEC
001,SAP_BC_WEBSERVICE_CONFIGURATOR,D,T_LA930056,Profil zur Rolle SAP_BC_WEBSERVICE_CONFIGURATOR
001,SAP_BC_WEBSERVICE_CONFIGURATOR,E,T_LA930056,Profile for role SAP_BC_WEBSERVICE_CONFIGURATOR
001,SAP_BC_WEBSERVICE_CONSUMER,D,T_EZ980007,Profil zur Rolle SAP_BC_WEBSERVICE_CONSUMER
001,SAP_BC_WEBSERVICE_DEBUGGER,D,T_EZ980008,Profil zur Rolle SAP_BC_WEBSERVICE_DEBUGGER
001,SAP_BC_WEBSERVICE_OBSERVER,D,T_EZ980009,Profil zur Rolle SAP_BC_WEBSERVICE_OBSERVER
001,SAP_BC_WEBSERVICE_OBSERVER,E,T_EZ980009,Profile for role SAP_BC_WEBSERVICE_OBSERVER
001,SAP_BC_WEBSERVICE_PI_CFG_SRV,D,T_LA930142,Profil zur Rolle SAP_BC_WEBSERVICE_PI_CFG_SRV
001,SAP_BC_WEBSERVICE_PI_CFG_SRV,E,T_LA930142,Profile for role SAP_BC_WEBSERVICE_PI_CFG_SRV
001,SAP_BC_WEBSERVICE_SERVICE_USER,D,T_EZ980010,Profil zur Rolle SAP_BC_WEBSERVICE_SERVICE_USER
001,SAP_BPC_ADMIN,E,T_K1300004,Profile for role SAP_BPC_ADMIN
001,SAP_BPC_BICS_REPORTER,E,T_EF107532,Profile for role SAP_BPC_BICS_REPORTER
001,SAP_BPC_BTCH_JOB,E,T_EF107526,Profile for role SAP_BPC_BTCH_JOB
001,SAP_BPC_CLM_EXPORT,E,T_EF107516,Profile for role SAP_BPC_CLM_EXPORT
001,SAP_BPC_CLM_IMPORT,E,T_EF107517,Profile for role SAP_BPC_CLM_IMPORT
001,SAP_BPC_MDX_REPORTER,E,T_EF107531,Profile for role SAP_BPC_MDX_REPORTER
001,SAP_BPC_SERVICE,E,T_EF056734,Profile for role SAP_BPC_SERVICE
001,SAP_BPC_SYSADMIN,E,T_K1300003,Profile for role SAP_BPC_SYSADMIN
001,SAP_BPC_TABU_DIS,E,T_EF107534,Profile for role SAP_BPC_TABU_DIS
001,SAP_BPC_USER,E,T_K1300002,Profile for role SAP_BPC_USER
001,SAP_BPC_WS_USER,E,T_EF107530,Profile for role SAP_BPC_WS_USER
001,SAP_BPT_GBT_ADMINISTRATION,D,T_56184361,Profil zur Aktivittsgruppe SAP_BPT_GBT_ADMINISTRATION
001,SAP_BW_BPC_BPF_SYSTEM_REPORT,E,T_KW650276,Profile for role SAP_BW_BPC_BPF_SYSTEM_REPORT
001,SAP_BW_BPC_WS_SYSTEM_REPORT,E,T_KW650277,Profile for role SAP_BW_BPC_WS_SYSTEM_REPORT
001,SAP_BW_BPM_MODELLER,E,T_BA850029,Profile for role SAP_BW_BPM_MODELLER
001,SAP_BW_CCMS_REPORTING,D,T_BA850009,Profil zur Rolle SAP_BW_CCMS_REPORTING
001,SAP_BW_CCMS_SETUP,D,T_BH040020,Profil zur Rolle SAP_BW_CCMS_SETUP
001,SAP_BW_CCMS_SETUP,E,T_BH040020,Profile for role SAP_BW_CCMS_SETUP
001,SAP_BW_SOLUTION_MANAGER,E,T_BK490045,Profile for role SAP_BW_SOLUTION_MANAGER
001,SAP_BW_WORKSPACE_DESIGNER,E,T_KW650193,Profile for role SAP_BW_WORKSPACE_DESIGNER
001,SAP_B_ALE_GRP_AD_T_56184456,D,T_56184456,Profil zur Aktivittsgruppe SAP_B_ALE_GRP_AD_T_56184456
001,SAP_B_ALE_GRP_AL_T_56184457,D,T_56184457,Profil zur Aktivittsgruppe SAP_B_ALE_GRP_AL_T_56184457
001,SAP_CA_ASU_ADMINISTRATOR,E,T_C4090011,Profile for role SAP_CA_ASU_ADMINISTRATOR
001,SAP_CA_BFA_DATATRANSFER,D,T_BE060028,Profil zur Rolle SAP_CA_BFA_DATATRANSFER
001,SAP_CA_BFA_DATATRANSFER,E,T_BE060028,Profile for Role SAP_CA_BFA_DATATRANSFER
