MANDT,AGR_NAME,CHILD_AGR,ATTRIBUTES
001,SAP_ESH_RFC_ENDUSER,SAP_BC_SEFS_RFC_ENDUSER,
001,SAP_ESH_RFC_ENDUSER,SAP_BC_SES_RFC_ENDUSER,
001,SAP_ESH_RFC_ENDUSER,SAP_ESH_BOS_RFC_ENDUSER,
001,SAP_ESH_SEARCH,SAP_BC_SEFS_RFC_ENDUSER,
001,SAP_ESH_SEARCH,SAP_BC_SES_RFC_ENDUSER,
001,SAP_ESH_SEARCH,SAP_ESH_BOS_RFC_ENDUSER,
001,SAP_ESH_SEARCH,SAP_ESH_SEARCH_CATEG,
001,SAP_ESH_SEARCH,SAP_ESH_SEARCH_CDS,
001,SAP_ESH_SEARCH,SAP_ESH_SEARCH_USER,
001,SAP_INTNW_ILM,SAP_INTNW_CCM_DATA_ARCHIVING,
001,SAP_INTNW_ILM,SAP_INTNW_CM_USER,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_ADMIN_RM,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_ADMIN_RW_V3,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_ARCHIVELINK,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_AUDIT_AREA,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_CHECKSUM,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_DESTROY,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_IRM,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_LHM_ADMIN,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_LHM_EXPERT,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_LOB_RM,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_LOB_RW_V3,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_SB,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_SRS_REQUESTS,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_TABLE_MAINT,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_WP_ADMIN,
001,SAP_INTNW_ILM,SAP_INTNW_ILM_WP_REPORTING,
001,SAP_UI2_ADMIN,SAP_UI2_ADMIN_700,
001,SAP_UI2_ADMIN,SAP_UI2_ADMIN_702,
001,SAP_UI2_ADMIN,SAP_UI2_ADMIN_731,
001,SAP_UI2_ADMIN,SAP_UI2_ADMIN_750,
001,SAP_UI2_USER,SAP_UI2_USER_700,
001,SAP_UI2_USER,SAP_UI2_USER_750,
001,SAP_XI_ADMINISTRATOR,SAP_ALM_ADMINISTRATOR,
001,SAP_XI_ADMINISTRATOR,SAP_ALM_CUSTOMIZER,
001,SAP_XI_ADMINISTRATOR,SAP_SLD_ADMINISTRATOR,
001,SAP_XI_ADMINISTRATOR,SAP_XI_ADMINISTRATOR_ABAP,
001,SAP_XI_ADMINISTRATOR,SAP_XI_ADMINISTRATOR_J2EE,
001,SAP_XI_ADMINISTRATOR,SAP_XI_BPE_ADMINISTRATOR_ABAP,
001,SAP_XI_ADMINISTRATOR,SAP_XI_BPE_ADMINISTRATOR_J2EE,
001,SAP_XI_ADMINISTRATOR,SAP_XI_DEMOAPP,
001,SAP_XI_AF_SERV_USER_MAIN,SAP_BC_WEBSERVICE_PI_CFG_SRV,
001,SAP_XI_AF_SERV_USER_MAIN,SAP_SLD_CONFIGURATOR,
001,SAP_XI_AF_SERV_USER_MAIN,SAP_XI_APPL_SERV_USER,
001,SAP_XI_BPE_SERV_USER_MAIN,SAP_XI_APPL_SERV_USER,
001,SAP_XI_BPE_SERV_USER_MAIN,SAP_XI_BPE_SERV_USER,
001,SAP_XI_CONFIGURATOR,SAP_BC_WEBSERVICE_PI_CFG_SRV,
001,SAP_XI_CONFIGURATOR,SAP_SLD_CONFIGURATOR,
