MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,SAP_BC_BMT_WFM_PROCESS,1,T_BA800086,,X,A
210,SAP_BC_BMT_WFM_UWL_ADMIN,1,T_YA670140,,X,
210,SAP_BC_BMT_WFM_UWL_END_USER,1,T_YA670141,,X,A
210,SAP_BC_BUSINESS_CONTENT,1,T_YA670098,,X,A
210,SAP_BC_CAT_TESTER,1,T_BA800087,,X,
210,SAP_BC_CAT_TESTORGANIZER,1,T_BE111409,,X,A
210,SAP_BC_CCM_DATA_ARCHIVING,1,T_BE060011,,X,
210,SAP_BC_CM_ADMINISTRATOR,1,T_EW350012,,X,
210,SAP_BC_CM_USER,1,T_EW350013,,X,A
210,SAP_BC_CSMREG,1,T_BE112323,,X,A
210,SAP_BC_CUS_ADMIN,1,T_BE111061,,X,
210,SAP_BC_CUS_CUSTOMIZER,1,T_BE111062,,X,
210,SAP_BC_DB_ADMIN,1,T_BA800090,,X,
210,SAP_BC_DB_ADMIN_DB2,1,T_BA800044,,X,
210,SAP_BC_DB_ADMIN_DB4,1,T_BA800082,,X,
210,SAP_BC_DB_ADMIN_DB6,1,T_BA800059,,X,
210,SAP_BC_DB_ADMIN_INF,1,T_BA800083,,X,
210,SAP_BC_DB_ADMIN_LIVECACHE,1,T_BE110237,,X,A
210,SAP_BC_DB_ADMIN_MSS,1,T_BA800045,,X,
210,SAP_BC_DB_ADMIN_ORA,1,T_BA800091,,X,
210,SAP_BC_DB_ADMIN_SAPDB,1,T_BA800057,,X,
210,SAP_BC_DB_ADMIN_SDB,1,T_BE112107,,X,
210,SAP_BC_DB_SHOW_LIVECACHE,1,T_BE110246,,X,A
210,SAP_BC_DWB_ABAPDEVELOPER,1,T_BA800053,,X,
210,SAP_BC_DWB_PROJECT_MANAGER,1,T_BA800052,,X,
210,SAP_BC_DWB_WBDISPLAY,1,T_BA800099,,X,
210,SAP_BC_EMPLOYEE,1,T_BA800079,,X,
210,SAP_BC_ENDUSER,1,T_BA800067,,X,
210,SAP_BC_FP_ICF,1,T_B0960197,,X,A
210,SAP_BC_JSF_COMMUNICATION,1,T-AP560002,,X,A
210,SAP_BC_JSF_COMMUNICATION_RO,1,T-AP560001,,X,A
210,SAP_BC_LAW_COMMUNICATION,1,T_BE112212,,X,A
210,SAP_BC_LVC_ADMINISTRATOR,1,T_BE111414,,X,
210,SAP_BC_LVC_OPERATOR,1,T_BE111415,,X,A
210,SAP_BC_LVC_SUPERUSER,1,T_BE111413,,X,
210,SAP_BC_LVC_USER,1,T_BE111416,,X,A
210,SAP_BC_MID_ALE_ADMIN,1,T_BA800101,,X,
210,SAP_BC_MID_ALE_IDOC_ADMIN,1,T_BE111390,,X,
210,SAP_BC_MID_ALE_MD_FI,1,T_P0920503,,X,
210,SAP_BC_MID_ALE_MD_HR,1,T_P0920364,,X,
210,SAP_BC_MID_ALE_MD_LO,1,T_P0920504,,X,
210,SAP_BC_RM_ADMINISTRATOR,1,T_BA620009,,X,
210,SAP_BC_RM_USER,1,T_BA620010,,X,A
210,SAP_BC_RRR_SAA_ADMIN,1,T_BE420003,,X,
210,SAP_BC_RRR_SAA_ADMIN_CALLONLY,1,T_BE420004,,X,
210,SAP_BC_RRR_SAA_APPL_ADMIN,1,T_BE420005,,X,
210,SAP_BC_RRR_SAA_PROJ_LEAD,1,T_BE420006,,X,
210,SAP_BC_RRR_SAA_USER,1,T_BE420007,,X,
210,SAP_BC_SERVICES&SUPPORT,1,T_BA800035,,X,
210,SAP_BC_SES_ADMIN,1,T_BE420068,,X,A
210,SAP_BC_SRV_ARL_ADMIN,1,T_BA800116,,X,
210,SAP_BC_SRV_COM_ADMIN,1,T_BA800113,,X,
210,SAP_BC_SRV_DX_ADMIN,1,T_BE111629,,X,A
210,SAP_BC_SRV_DX_MANAGER,1,T_BE111628,,X,A
210,SAP_BC_SRV_EDI_ADMIN,1,T_BA800115,,X,
210,SAP_BC_SRV_EDI_DEVELOPER,1,T_BA800114,,X,
210,SAP_BC_SRV_FORM_PRINTING,1,T_BE060024,,X,
210,SAP_BC_SRV_KPR_ADMIN,1,T_BA800107,,X,A
210,SAP_BC_SRV_PPF_ADMIN,1,T_BA800080,,X,
210,SAP_BC_SRV_USER,1,T_BA800112,,X,
210,SAP_BC_STWB_1_ALL,1,T_BE112945,,X,
210,SAP_BC_STWB_1_DIS,1,T_BE112946,,X,
210,SAP_BC_STWB_2_ALL,1,T_BE112947,,X,
210,SAP_BC_STWB_2_DIS,1,T_BE112948,,X,
210,SAP_BC_STWB_INFO_ALL,1,T_BE112951,,X,
210,SAP_BC_STWB_INFO_DIS,1,T_BE112952,,X,
210,SAP_BC_STWB_SET_ALL,1,T_BE112953,,X,
